zip,year,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,legal_gps2122,legal_music2122,legal_app2122
98003,2018,3,1,2,2,1,3,2,2,2,2,2,2,,,
98003,2018,3,3,3,3,3,3,3,3,3,3,3,3,,,
98168,2018,1,1,2,2,1,1,1,1,1,1,1,2,,,
98133,2018,2,1,2,2,3,2,1,3,2,1,2,2,,,
98003,2018,2,1,1,2,1,2,2,2,2,1,2,2,,,
98391,2018,2,1,2,2,1,2,1,2,2,1,2,2,,,
98106,2018,1,1,2,2,1,3,2,1,1,1,2,2,,,
98038,2018,3,1,2,1,1,2,1,1,2,2,2,2,,,
98030,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98042,2018,2,1,2,2,3,3,2,3,3,2,3,2,,,
98178,2018,2,1,3,3,3,3,3,3,3,3,3,3,,,
98102,2018,2,1,2,2,3,2,2,2,2,1,2,2,,,
98133,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98103,2018,2,2,2,2,1,2,2,2,2,2,2,2,,,
98177,2018,2,1,2,1,2,1,2,2,1,1,2,2,,,
98004,2018,3,3,2,2,1,2,2,2,2,2,2,3,,,
98126,2018,2,1,2,2,3,3,1,1,2,2,1,2,,,
98155,2018,2,2,2,2,2,2,2,2,2,1,2,2,,,
98166,2018,2,2,2,3,3,3,2,3,3,2,3,2,,,
98391,2018,2,1,2,2,3,2,2,2,2,1,2,2,,,
98034,2018,2,3,2,2,1,2,2,2,2,2,2,2,,,
98001,2018,2,1,2,2,1,2,2,2,2,1,3,2,,,
98038,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98103,2018,3,3,3,3,3,3,3,3,3,3,3,3,,,
98023,2018,2,1,2,2,2,2,2,2,2,1,1,2,,,
98125,2018,3,3,2,3,3,3,3,3,3,1,3,3,,,
98006,2018,3,1,2,1,1,1,3,1,1,1,1,2,,,
98122,2018,2,1,2,2,3,2,3,2,2,1,3,2,,,
98058,2018,2,1,2,2,3,3,2,2,2,2,2,2,,,
98122,2018,2,1,2,2,1,3,2,2,2,1,2,2,,,
98034,2018,3,1,2,2,1,3,3,2,2,1,3,2,,,
98052,2018,2,1,2,2,1,2,2,3,3,3,2,3,,,
98118,2018,2,1,2,2,1,3,2,2,2,2,3,2,,,
98125,2018,2,1,2,2,2,2,2,2,2,1,2,2,,,
98003,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98115,2018,2,1,2,2,3,3,2,3,3,1,2,2,,,
98052,2018,2,1,2,2,3,2,2,3,3,1,2,2,,,
98166,2018,3,1,2,2,1,1,2,2,2,3,2,2,,,
98103,2018,2,3,2,2,3,3,2,3,2,1,2,2,,,
98057,2018,2,2,1,2,2,2,2,2,2,1,2,2,,,
98023,2018,2,1,2,2,3,2,1,2,2,1,2,2,,,
98052,2018,2,1,2,3,3,3,1,2,2,1,2,2,,,
98125,2018,3,3,2,2,1,2,1,2,2,1,2,2,,,
98108,2018,2,1,1,1,3,1,2,2,2,1,1,2,,,
98056,2018,2,1,2,2,1,2,3,2,2,1,2,2,,,
98121,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98023,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98101,2018,2,1,2,2,3,2,2,2,2,1,3,2,,,
98102,2018,3,1,2,3,1,3,3,3,3,1,3,2,,,
98023,2018,2,1,2,2,2,2,2,2,2,1,2,2,,,
98027,2018,3,1,2,2,1,2,2,2,2,1,1,2,,,
98042,2018,2,1,2,2,1,2,3,2,2,1,2,2,,,
98122,2018,2,1,2,2,3,2,2,2,2,2,2,2,,,
98198,2018,2,2,2,2,2,2,1,2,2,2,3,3,,,
98188,2018,3,1,2,2,1,2,1,2,2,1,2,2,,,
98144,2018,2,3,2,3,1,3,2,1,2,1,2,2,,,
98034,2018,2,3,2,2,3,2,2,2,2,2,2,2,,,
98177,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98030,2018,3,1,2,2,1,2,2,3,3,1,2,2,,,
98045,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98198,2018,2,2,2,2,2,2,2,2,2,2,2,2,,,
98031,2018,3,1,1,3,3,2,3,3,3,1,2,2,,,
98105,2018,2,2,2,1,1,2,2,2,2,1,2,2,,,
98029,2018,2,1,2,2,1,3,3,2,2,1,2,2,,,
98033,2018,3,1,1,2,1,2,3,2,2,1,2,2,,,
98003,2018,2,1,2,2,2,1,2,2,2,1,2,2,,,
98011,2018,2,1,2,2,1,2,1,2,2,1,2,2,,,
98001,2018,2,3,2,2,2,2,3,2,2,3,3,2,,,
98103,2018,2,1,2,2,2,2,2,2,2,1,2,2,,,
98391,2018,2,1,2,2,1,3,2,2,2,1,2,2,,,
98117,2018,2,1,2,2,1,1,2,2,1,1,2,2,,,
98032,2018,2,1,2,2,3,2,1,2,2,1,2,2,,,
98038,2018,3,1,2,2,1,2,2,2,2,2,2,2,,,
98056,2018,3,1,2,2,3,2,3,2,2,1,3,2,,,
98104,2018,2,1,2,2,1,2,2,2,2,2,2,2,,,
98198,2018,2,1,2,2,3,3,3,2,2,1,2,2,,,
98042,2018,2,1,2,3,1,2,1,2,2,1,2,2,,,
98121,2018,2,1,2,1,3,3,2,1,1,1,3,1,,,
98144,2018,3,1,3,3,3,3,3,3,3,3,3,3,,,
98065,2018,3,1,2,2,1,2,2,2,2,1,2,2,,,
98119,2018,3,2,2,2,3,2,2,2,2,1,2,2,,,
98057,2018,2,1,2,3,3,3,2,3,3,1,1,2,,,
98001,2018,2,1,2,3,3,3,2,3,3,1,2,2,,,
98003,2018,2,1,2,2,1,2,2,2,2,2,2,2,,,
98029,2018,2,1,2,2,3,2,2,2,2,1,2,2,,,
98105,2018,1,1,3,1,1,1,1,1,1,1,2,2,,,
98177,2018,2,1,2,2,1,3,2,3,2,1,1,1,,,
98034,2018,3,1,2,2,1,2,2,2,2,1,2,2,,,
98116,2018,2,2,2,2,2,2,2,2,2,2,2,2,,,
98059,2018,2,1,3,2,3,3,2,3,3,1,2,2,,,
98118,2018,2,2,2,2,2,2,2,2,2,2,2,2,,,
98034,2018,2,1,3,3,3,1,1,3,2,1,2,2,,,
98053,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98102,2018,2,1,2,2,1,1,3,2,2,3,2,2,,,
98119,2018,2,1,2,2,2,2,2,2,2,1,2,2,,,
98104,2018,1,1,1,1,1,1,1,1,1,1,1,1,,,
98106,2018,2,1,2,2,1,2,2,2,2,2,3,2,,,
98031,2018,2,1,2,2,1,2,1,1,1,1,2,2,,,
98109,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98031,2018,3,1,2,2,3,2,3,2,2,1,2,2,,,
98105,2018,2,1,2,2,1,2,2,2,2,1,1,2,,,
98145,2018,3,1,2,2,3,3,3,2,2,1,2,2,,,
98006,2018,2,3,2,3,3,3,3,3,3,3,2,2,,,
98022,2018,3,1,2,2,1,2,2,3,3,1,2,2,,,
98133,2018,2,1,2,2,3,2,2,2,2,1,2,2,,,
98042,2018,2,3,2,2,3,2,2,2,2,3,2,2,,,
98118,2018,2,2,2,2,1,2,2,2,2,2,2,2,,,
98198,2018,3,1,2,2,3,2,1,2,2,2,2,2,,,
98002,2018,3,1,2,2,1,2,3,2,2,1,3,2,,,
98038,2018,3,1,3,3,1,3,3,3,3,1,1,2,,,
98125,2018,2,1,2,2,3,2,1,2,2,1,2,2,,,
98118,2018,2,2,2,2,1,2,2,2,2,2,2,2,,,
98055,2018,2,1,2,2,1,1,1,1,1,1,2,2,,,
98034,2018,2,1,2,2,3,3,3,3,3,1,3,2,,,
98053,2018,1,1,2,1,1,1,1,1,1,1,1,2,,,
98188,2018,3,1,2,2,1,3,1,3,2,1,2,2,,,
98002,2018,2,2,2,2,3,3,3,3,2,1,2,2,,,
98125,2018,3,1,2,3,3,2,2,3,2,1,1,2,,,
98391,2018,2,1,2,2,3,3,2,2,2,2,2,2,,,
98092,2018,2,2,2,2,3,2,2,3,2,2,2,2,,,
98042,2018,2,1,2,2,1,2,1,2,2,1,2,2,,,
98166,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98052,2018,3,1,2,2,1,3,3,2,2,1,3,2,,,
98034,2018,2,1,2,2,1,2,1,2,2,1,2,2,,,
98055,2018,3,1,2,2,1,3,1,2,2,1,2,2,,,
98052,2018,1,1,2,2,1,2,1,1,2,2,1,2,,,
98136,2018,2,1,2,2,1,3,3,3,2,1,2,2,,,
98188,2018,2,1,2,2,3,2,2,2,2,1,2,2,,,
98002,2018,2,2,2,3,2,3,2,3,3,1,3,2,,,
98108,2018,2,3,2,2,2,2,3,2,2,3,2,2,,,
98109,2018,2,1,2,3,1,3,2,3,3,1,3,2,,,
98155,2018,2,2,2,2,3,2,3,3,2,3,3,2,,,
98042,2018,2,1,2,2,1,1,2,1,1,1,2,2,,,
98047,2018,2,1,2,2,3,2,2,2,2,1,2,2,,,
98133,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98168,2018,1,1,2,2,1,2,2,2,2,1,2,2,,,
98133,2018,3,1,2,1,1,1,3,3,3,1,3,2,,,
98033,2018,3,1,2,2,1,2,1,2,2,2,2,2,,,
98002,2018,3,1,2,2,1,3,3,3,3,1,3,2,,,
98146,2018,2,1,2,2,3,2,2,2,2,1,2,2,,,
98027,2018,2,2,2,2,1,2,2,2,2,1,2,3,,,
98122,2018,2,1,2,2,3,2,2,2,2,1,2,2,,,
98028,2018,2,2,2,2,3,3,3,3,3,1,3,2,,,
98006,2018,3,1,2,2,3,3,3,3,2,1,3,2,,,
98011,2018,3,3,2,3,2,2,1,1,1,2,2,2,,,
98188,2018,2,1,2,2,1,2,2,3,3,1,2,2,,,
98125,2018,2,1,2,2,3,3,3,3,2,1,3,2,,,
98106,2018,3,3,3,3,3,3,3,3,3,3,3,3,,,
98003,2018,2,3,2,2,1,2,1,2,2,1,2,2,,,
98188,2018,2,1,2,2,1,3,1,2,2,1,3,2,,,
98045,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98105,2018,3,1,2,2,1,2,3,2,2,1,2,2,,,
98198,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98001,2018,3,3,2,2,3,2,2,2,2,2,2,2,,,
98105,2018,3,3,1,2,1,2,3,2,2,1,2,2,,,
98059,2018,2,2,2,2,1,2,2,2,2,2,2,2,,,
98074,2018,3,2,2,2,1,2,2,2,2,1,2,2,,,
98102,2018,3,1,1,2,1,1,3,3,3,1,2,2,,,
98144,2018,2,1,2,2,1,2,2,2,2,1,1,2,,,
98074,2018,2,1,2,2,3,3,3,3,3,1,3,2,,,
98003,2018,3,1,2,2,1,2,2,2,2,1,3,2,,,
98001,2018,2,1,2,2,3,2,3,2,2,1,2,2,,,
98010,2018,2,1,2,2,2,2,2,2,2,2,2,2,,,
98059,2018,2,1,2,2,1,2,2,3,3,1,2,2,,,
98092,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98033,2018,2,1,2,2,1,3,3,2,2,1,2,2,,,
98146,2018,2,1,2,2,3,2,3,2,2,1,2,2,,,
98004,2018,3,1,3,3,3,3,3,3,3,1,3,2,,,
98107,2018,2,3,2,2,1,2,2,2,2,1,2,2,,,
98391,2018,2,1,2,2,2,2,2,2,2,1,2,2,,,
98101,2018,3,1,3,2,1,1,2,1,2,2,2,2,,,
98199,2018,2,3,2,2,1,2,2,2,2,1,2,2,,,
98075,2018,2,1,1,1,1,2,3,1,1,1,2,2,,,
98198,2018,3,1,2,2,1,2,1,2,2,1,1,2,,,
98155,2018,2,3,2,2,1,2,2,2,2,1,2,2,,,
98006,2018,2,1,2,2,2,2,2,2,2,1,2,2,,,
98168,2018,2,1,2,2,1,2,3,3,3,2,3,2,,,
98033,2018,2,1,2,2,2,2,2,2,2,2,2,2,,,
98112,2018,2,2,2,2,1,2,2,2,2,1,2,2,,,
98027,2018,2,1,2,3,3,3,2,3,3,1,3,2,,,
98102,2018,2,1,2,2,3,3,3,2,2,1,2,2,,,
98155,2018,2,3,2,2,2,2,2,2,2,1,2,2,,,
98103,2018,2,1,2,2,1,3,3,3,2,2,3,2,,,
98056,2018,2,1,2,2,2,3,2,2,2,1,2,2,,,
98108,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98108,2018,2,1,2,2,3,3,2,3,2,3,3,2,,,
98005,2018,2,1,2,2,3,1,1,3,2,1,2,2,,,
98391,2018,3,1,2,2,1,2,3,2,2,1,3,2,,,
98103,2018,3,1,2,2,3,2,2,2,2,1,2,2,,,
98042,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98007,2018,2,1,2,2,1,3,3,2,2,2,2,2,,,
98058,2018,3,1,2,2,1,2,2,2,2,1,2,2,,,
98107,2018,2,1,2,2,1,2,1,1,2,1,1,2,,,
98122,2018,1,1,2,2,1,2,1,1,2,1,1,2,,,
98101,2018,3,1,2,3,3,3,2,2,2,1,2,2,,,
98011,2018,2,2,2,2,1,3,3,2,2,1,2,2,,,
98053,2018,2,1,2,2,2,1,2,2,2,1,2,2,,,
98199,2018,3,3,2,2,1,2,2,2,2,1,2,2,,,
98146,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98107,2018,2,1,1,2,1,1,1,1,1,1,1,1,,,
98092,2018,2,2,2,2,1,1,2,1,1,2,2,2,,,
98030,2018,3,1,2,1,1,1,2,1,1,1,2,2,,,
98029,2018,3,1,2,2,1,3,1,2,2,1,2,2,,,
98058,2018,2,1,1,2,2,2,2,2,2,1,2,2,,,
98058,2018,1,1,2,2,1,2,1,2,2,1,1,2,,,
98057,2018,3,1,2,2,1,2,3,2,2,1,2,2,,,
98030,2018,2,1,2,2,1,3,3,2,2,3,2,3,,,
98053,2018,1,1,2,1,1,1,1,1,1,1,1,2,,,
98125,2018,2,2,2,2,3,2,3,3,3,1,2,2,,,
98125,2018,2,2,2,2,3,2,2,2,2,1,2,2,,,
98133,2018,2,1,2,2,2,2,2,2,2,1,2,2,,,
98045,2018,2,1,2,3,3,3,2,2,3,1,2,2,,,
98121,2018,1,1,2,2,3,2,2,2,2,1,2,2,,,
98007,2018,1,1,2,2,1,3,1,2,2,1,2,2,,,
98112,2018,2,3,2,2,3,2,2,2,2,3,2,2,,,
98115,2018,3,1,2,3,1,1,2,1,1,1,3,2,,,
98023,2018,2,1,2,2,3,2,3,2,2,1,2,2,,,
98188,2018,2,1,1,2,2,3,2,2,2,1,2,2,,,
98198,2018,2,1,2,2,1,1,2,2,2,1,2,2,,,
98027,2018,2,1,2,2,2,2,2,2,2,1,1,2,,,
98002,2018,1,1,2,1,1,1,2,1,1,1,1,2,,,
98103,2018,2,1,2,3,1,2,2,2,2,1,2,2,,,
98105,2018,2,3,2,2,1,3,3,3,2,1,3,3,,,
98155,2018,3,1,2,2,1,2,3,2,2,1,3,2,,,
98103,2018,2,1,2,2,3,2,2,3,2,1,2,2,,,
98188,2018,2,1,2,2,2,3,1,2,2,1,2,2,,,
98002,2018,2,1,2,2,3,2,1,3,2,1,1,2,,,
98155,2018,2,1,2,1,3,1,1,1,1,1,2,2,,,
98008,2018,2,1,2,3,3,3,3,3,3,3,2,2,,,
98105,2018,2,1,2,2,1,3,3,2,2,1,3,2,,,
98038,2018,2,3,2,3,1,3,2,1,1,1,3,2,,,
98052,2018,1,1,2,2,1,3,2,2,2,1,1,2,,,
98042,2018,1,1,1,2,1,2,1,2,2,1,2,2,,,
98042,2018,2,1,2,2,3,2,2,1,1,1,2,2,,,
98004,2018,2,1,1,2,2,2,2,2,2,1,2,2,,,
98115,2018,2,1,1,2,2,2,1,2,2,1,2,2,,,
98023,2018,2,1,2,2,1,2,2,2,2,1,1,2,,,
98102,2018,3,1,2,3,1,3,3,3,3,1,3,1,,,
98103,2018,1,1,1,2,1,2,1,2,2,1,2,2,,,
98168,2018,1,1,2,2,1,1,2,1,1,1,2,2,,,
98125,2018,2,1,1,1,1,2,1,2,2,1,2,1,,,
